,precision,recall,f1-score,support
turmeric::Healthy,0.9361702127659575,1.0,0.967032967032967,44.0
turmeric::Healthy rhizome,1.0,1.0,1.0,7.0
turmeric::Leaf blotch,1.0,1.0,1.0,61.0
turmeric::Leaf spot,1.0,1.0,1.0,27.0
turmeric::Rhizome rot,1.0,1.0,1.0,28.0
watermelon::Anthracnose,1.0,1.0,1.0,20.0
watermelon::Downy mildew,1.0,1.0,1.0,22.0
watermelon::Healthy,1.0,1.0,1.0,18.0
watermelon::Mosaic virus,1.0,1.0,1.0,45.0
wheat::Aphid (pest),0.926605504587156,0.9181818181818182,0.9223744292237442,110.0
wheat::Bacterial leaf streak,0.6666666666666666,0.7142857142857143,0.6896551724137931,14.0
wheat::Black (stem) rust,0.8913043478260869,0.7884615384615384,0.8367346938775511,52.0
wheat::Blast,0.8153846153846154,0.9464285714285714,0.8760330578512396,56.0
